Species	Chemical Name	Freq-GHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-GHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	Linelist
CH3OHvt=0-2	Methanol	322.29825800	9.8E-5			11(7,4)-11(4,7)A,vt=1-vt=2	-9.72870		533.16580	CDMS
CH3OHvt=0-2	Methanol	322.29826000	9.8E-5			11(7,5)-11(4,8)A,vt=1-vt=2	-9.72870		533.16580	CDMS
CH3OHvt=0-2	Methanol	322.32100600	1.6E-5			1(-1,0)-1(1,1)E,vt=0	-9.69740		5.48970	CDMS
CH3OHvt=0-2	Methanol	322.33714900	1.6E-5			2(-1,1)-2(1,2)E,vt=0	-8.99630		8.71660	CDMS
CH3OHvt=0-2	Methanol	322.37157800	1.5E-5			3(-1,2)-3(1,3)E,vt=0	-8.54650		13.55650	CDMS
CH3OHvt=0-2	Methanol	322.43653800	1.5E-5			4(-1,3)-4(1,4)E,vt=0	-8.21350		20.00910	CDMS
CH3OHvt=0-2	Methanol	322.54832800	1.4E-5			5(-1,4)-5(1,5)E,vt=0	-7.94990		28.07350	CDMS
CH3OHvt=0-2	Methanol	322.72726600	1.3E-5			6(-1,5)-6(1,6)E,vt=0	-7.73380		37.74920	CDMS
CH3OHvt=0-2	Methanol	322.99761500	1.3E-5			7(-1,6)-7(1,7)E,vt=0	-7.55390		49.03520	CDMS
CH3OHvt=0-2	Methanol	323.38746800	1.3E-5			8(-1,7)-8(1,8)E,vt=0	-7.40400		61.93030	CDMS
CH3OHvt=0-2	Methanol	323.92858100	1.2E-5			9(-1,8)-9(1,9)E,vt=0	-7.28060		76.43350	CDMS
CH3OHvt=0-2	Methanol	324.43292200	2.7E-5			24(0,24)-23(2,21)A,vt=0	-7.76780		471.51530	CDMS
CH3OHvt=0-2	Methanol	324.65611300	1.2E-5			10(-1,9)-10(1,10)E,vt=0	-7.18210		92.54330	CDMS
CH3OHvt=0-2	Methanol	324.69995700	0.000141			11(-11,1)-11(-8,4)E,vt=0-vt=1	-10.23600		519.84280	CDMS
CH3OHvt=0-2	Methanol	325.43362400	0.000133			12(-11,2)-12(-8,5)E,vt=0-vt=1	-9.64880		539.14360	CDMS
CH3OHvt=0-2	Methanol	325.43508900	0.000196			15(3,13)-16(-2,14),vt=1	0.00000		472.07600	CDMS
CH3OHvt=0-2	Methanol	325.60828200	1.3E-5			11(-1,10)-11(1,11)E,vt=0	-7.10770		110.25820	CDMS
CH3OHvt=0-2	Methanol	325.68915400	1.9E-5			24(-2,23)-23(3,20)E,vt=0	-4.97150		488.44360	CDMS
CH3OHvt=0-2	Methanol	325.79029100	1.5E-5			14(3,11)-15(-0,15)E,vt=0	-5.63930		202.07530	CDMS
CH3OHvt=0-2	Methanol	326.63058300	1.1E-5			10(1,9)-10(0,10)A,vt=0	-3.01700		88.68580	CDMS
CH3OHvt=0-2	Methanol	326.67818600	1.0E-5			16(2,14)-15(-3,13)E,vt=0	-5.55850		226.77470	CDMS
CH3OHvt=0-2	Methanol	326.82589900	1.3E-5			12(-1,11)-12(1,12)E,vt=0	-7.05720		129.57660	CDMS
CH3OHvt=0-2	Methanol	326.96123200	1.2E-5			10(1,10)-9(-0,9)E,vt=0	-3.47160		81.63700	CDMS
CH3OHvt=0-2	Methanol	327.13691200	3.1E-5			8(-2,6)-9(-4,6)E,vt=1	-8.22530		324.95820	CDMS
CH3OHvt=0-2	Methanol	327.31725300	1.2E-5			12(2,11)-11(3,8)A,vt=0	-3.86410		141.08040	CDMS
CH3OHvt=0-2	Methanol	327.40787300	1.4E-5			17(5,13)-18(4,14)A,vt=0	-4.13140		331.61170	CDMS
CH3OHvt=0-2	Methanol	327.44064400	1.4E-5			17(5,12)-18(4,15)A,vt=0	-4.13130		331.61060	CDMS
CH3OHvt=0-2	Methanol	327.48683500	1.2E-5			13(-4,9)-14(-3,12)E,vt=0	-3.97630		202.57250	CDMS
CH3OHvt=0-2	Methanol	327.59617600	1.9E-5			24(-4,20)-23(-5,18)E,vt=0	-4.36980		539.27610	CDMS
CH3OHvt=0-2	Methanol	327.81232200	1.9E-5			19(2,17)-19(-0,19)E,vt=0	-6.92200		314.11250	CDMS
CH3OHvt=0-2	Methanol	328.34955300	2.5E-5			19(4,16)-20(1,19)A,vt=0	-7.85310		351.28670	CDMS
CH3OHvt=0-2	Methanol	328.35179000	1.3E-5			13(-1,12)-13(1,13)E,vt=0	-7.03110		150.49670	CDMS
CH3OHvt=0-2	Methanol	328.46885300	1.3E-5			20(3,18)-19(4,15)A,vt=0	-4.07940		362.24090	CDMS
CH3OHvt=0-2	Methanol	329.63288100	1.2E-5			12(2,10)-11(3,9)A,vt=0	-3.85370		141.07850	CDMS
CH3OHvt=0-2	Methanol	330.23009100	1.4E-5			14(-1,13)-14(1,14)E,vt=0	-7.02980		173.01680	CDMS
CH3OHvt=0-2	Methanol	330.32938500	3.0E-5			25(2,23)-24(4,20)A,vt=0	-7.30860		539.52300	CDMS
